id,question,reference_answer,skill,topic,subtopic,difficulty,category,role,keywords,evaluation_points,estimated_time_seconds
1,Tell me about yourself and your background in software development.,I am a software developer with experience in [X] years. I have worked on [key projects] using [key technologies]. I am passionate about [areas of interest] and have contributed to [notable achievements].,Communication,Behavioral,Self Introduction,Easy,Behavioral,Software Engineer|Frontend Developer|Backend Developer|Full Stack Developer|Data Scientist|ML Engineer|DevOps Engineer|iOS Developer|Android Developer|QA Engineer|Product Manager|Data Engineer|Database Administrator|Cloud Engineer|Security Engineer,communication|background|experience|projects|skills|achievements,Clear self-introduction|Relevant technical background|Notable achievements mentioned|Coherent narrative structure,60
2,Why do you want to work in this role?,I am attracted to this role because it aligns with my skills in [area] and my career goal of [goal]. I have researched the company and admire [specific aspect]. I believe I can contribute by [specific contributions].,Communication,Behavioral,Motivation,Easy,Behavioral,Software Engineer|Frontend Developer|Backend Developer|Full Stack Developer|Data Scientist|ML Engineer|DevOps Engineer|iOS Developer|Android Developer|QA Engineer|Product Manager,motivation|career goals|company research|contribution|alignment,Clear motivation stated|Company/role-specific reasons|Personal career alignment|Specific contributions mentioned,60
3,Describe a challenging project you worked on and how you handled it.,"I faced a challenge when [situation]. I took the following approach: [steps taken]. I collaborated with [team], used [technologies], and resolved the issue by [solution]. The outcome was [result], and I learned [key lesson].",Problem Solving,Behavioral,STAR Method,Medium,Behavioral,Software Engineer|Frontend Developer|Backend Developer|Full Stack Developer|Data Scientist|ML Engineer|DevOps Engineer|iOS Developer|Android Developer|QA Engineer|Product Manager,challenge|solution|collaboration|outcome|lesson|STAR,STAR format used|Specific technical challenge|Collaboration mentioned|Measurable outcome|Learning articulated,90
4,How do you handle disagreements with teammates or managers?,"I approach disagreements by first listening to understand the other perspective, then presenting data or reasoning to support my view. I focus on the shared goal rather than personal positions. If we cannot agree, I escalate appropriately.",Communication,Behavioral,Conflict Resolution,Medium,Behavioral,Software Engineer|Frontend Developer|Backend Developer|Full Stack Developer|Data Scientist|ML Engineer|DevOps Engineer|Product Manager,disagreement|listening|data-driven|collaboration|escalation|empathy,Active listening approach|Data-driven reasoning|Focus on shared goals|Appropriate escalation path,90
5,Tell me about a time you had to learn a new technology quickly.,"When [situation required new tech], I started by [initial approach: docs, tutorials, courses]. I built a small prototype in [timeframe]. I also asked [mentor/colleague] for guidance. Within [time], I was productive with the technology.",Adaptability,Behavioral,Learning Agility,Medium,Behavioral,Software Engineer|Frontend Developer|Backend Developer|Full Stack Developer|Data Scientist|ML Engineer|DevOps Engineer|iOS Developer|Android Developer,learning|adaptability|self-study|prototype|mentor|growth,Specific technology and timeline|Structured learning approach|Practical hands-on practice|Seeking guidance when needed,90
6,What are the core differences between processes and threads?,"Processes have independent memory space protected by the OS, while threads share the memory space of their parent process. Threads are lighter (faster to create, less memory overhead). IPC between processes uses pipes, message queues, shared memory, sockets. Threads communicate via shared variables protected by mutexes/semaphores.",Operating Systems,System Architecture,Concurrency,Easy,Technical,Software Engineer|Backend Developer|Full Stack Developer|DevOps Engineer,process|thread|memory|IPC|pipes|shared memory|mutex|semaphore,Independent vs shared memory spaces|IPC mechanisms for processes|Thread synchronization primitives|Context switching overhead differences,90
7,Explain RESTful web services and how idempotency applies to HTTP methods.,"REST is an architectural style for distributed systems using stateless HTTP. Idempotency means repeating the same request produces the same server state. GET (retrieve), PUT (replace), DELETE (remove) are idempotent. POST (create) is non-idempotent since it creates a new resource each time. PATCH may or may not be idempotent depending on implementation.",Web Development,API Design,REST,Medium,Technical,Software Engineer|Backend Developer|Full Stack Developer|Frontend Developer,REST|stateless|HTTP|idempotent|GET|POST|PUT|DELETE|PATCH,Stateless architectural constraint|HTTP method semantics|Idempotency definition and examples|Safe vs unsafe methods,120
8,How do B-Tree indexes optimize query execution? What are the write trade-offs?,"B-Tree indexes provide O(log N) lookup time by maintaining a balanced tree structure, avoiding full table scans (O(N)). The database query planner uses the index to directly find rows. However, writes (INSERT, UPDATE, DELETE) are slower because the index structure must be updated synchronously. This is why over-indexing hurts write-heavy workloads. Selective indexing on high-cardinality, frequently-queried columns is best practice.",Databases,Database Optimization,Indexing,Hard,Technical,Software Engineer|Backend Developer|Database Administrator|Full Stack Developer,index|B-Tree|lookup|query planner|write overhead|insert|update|cardinality,B-Tree structure and O(log N) complexity|Avoidance of full table scans|Write penalty from index maintenance|Selective indexing best practices,120
9,Describe the JavaScript Event Loop and how async operations are processed.,"JS runs on a single thread. The Event Loop processes: Call Stack (sync code), Microtask Queue (Promise.then, async/await, queueMicrotask), Macrotask Queue (setTimeout, setInterval, I/O, UI events). After each macrotask, the engine drains the entire microtask queue before picking the next macrotask. This is why Promise callbacks run before setTimeout callbacks.",JavaScript,Frontend Architecture,Asynchronous JS,Medium,Technical,Software Engineer|Frontend Developer|Full Stack Developer,Event Loop|call stack|microtask|macrotask|promise|async|await|setTimeout,Single-threaded model explanation|Call Stack vs Task Queues distinction|Microtask priority over macrotasks|Practical example with Promise vs setTimeout,120
10,What are SOLID design principles? How does DIP improve testability?,"SOLID: Single Responsibility (one reason to change), Open/Closed (open for extension, closed for modification), Liskov Substitution (subtypes replaceable without breaking program), Interface Segregation (no client forced to depend on unused interfaces), Dependency Inversion (depend on abstractions not concretions). DIP improves testability by allowing concrete dependencies to be swapped for mocks/stubs in unit tests without changing the production code.",Software Engineering,Object Oriented Design,Design Principles,Hard,Technical,Software Engineer|Backend Developer|Full Stack Developer,SOLID|Dependency Inversion|abstraction|decoupling|unit testing|mocking|interface,All 5 SOLID principles named and explained|Dependency on abstractions vs concretions|Testability improvement via dependency injection|Concrete example of mocking,120
11,What is a React Virtual DOM and how does reconciliation work?,"The Virtual DOM is a lightweight in-memory representation of the real DOM. When state changes, React creates a new Virtual DOM tree and diffs it against the previous one (reconciliation). React identifies the minimum set of real DOM mutations needed using the diffing algorithm (O(n) via heuristics: same-level comparison, key prop optimization). Only changed nodes are updated in the real DOM, making updates efficient.",React,Frontend Architecture,Virtual DOM,Medium,Technical,Frontend Developer|Full Stack Developer|Software Engineer,Virtual DOM|reconciliation|diffing|fiber|key|state|re-render,Virtual DOM concept and purpose|Reconciliation algorithm explanation|Role of key prop in list optimization|Efficiency benefits over direct DOM manipulation,120
12,Explain CSS Flexbox vs Grid. When would you use each?,"Flexbox is one-dimensional — ideal for laying out items in a single row or column (navigation bars, button groups, centering). Grid is two-dimensional — ideal for page-level layouts with both rows and columns simultaneously. Use Flexbox for component-level alignment; use Grid for full page or section layouts. They are complementary and can be nested.",CSS,Frontend Architecture,Layout,Easy,Technical,Frontend Developer|Full Stack Developer,flexbox|grid|layout|one-dimensional|two-dimensional|alignment|responsive,Flexbox as 1D layout system|Grid as 2D layout system|Appropriate use cases for each|Nesting and combining both,90
13,What is the difference between useState and useReducer in React?,"useState is for simple, independent state values. useReducer is for complex state logic where the next state depends on the previous state or multiple sub-values. useReducer is preferable when: state transitions follow defined actions (like Redux), multiple state values update together, or state logic needs to be extracted/tested independently. useReducer takes a reducer function (state, action) => newState and returns [state, dispatch].",React,Frontend Architecture,State Management,Medium,Technical,Frontend Developer|Full Stack Developer|Software Engineer,useState|useReducer|state|reducer|dispatch|action|complex state,useState use case identification|useReducer use case identification|reducer function signature|When to prefer useReducer over useState,120
14,How does the browser critical rendering path work?,"The Critical Rendering Path is the sequence: HTML → DOM, CSS → CSSOM, DOM + CSSOM → Render Tree, Layout (compute geometry), Paint (pixel drawing), Composite (layer ordering). JS blocks parsing (unless async/defer). Render-blocking CSS delays render tree construction. To optimize: minimize render-blocking resources, use async/defer for scripts, inline critical CSS, use resource hints (preload, prefetch).",Performance,Frontend Architecture,Browser Internals,Hard,Technical,Frontend Developer|Full Stack Developer|Software Engineer,CRP|DOM|CSSOM|render tree|layout|paint|composite|async|defer|preload,DOM and CSSOM construction|Render tree formation|Layout and paint steps|Render-blocking resource optimization,120
15,What is TypeScript and what are its main benefits over JavaScript?,"TypeScript is a statically-typed superset of JavaScript compiled to JS. Benefits: compile-time type checking catches errors early, better IDE support (autocomplete, refactoring), self-documenting interfaces and types, easier refactoring of large codebases, generics for reusable type-safe code. Trade-offs: compilation step, learning curve for types, sometimes overly verbose.",TypeScript,Software Engineering,Type Systems,Easy,Technical,Frontend Developer|Full Stack Developer|Software Engineer,TypeScript|static typing|interfaces|generics|compile-time|type safety|IDE,Static type checking benefits|Interface and type definitions|Generic types for reusability|Trade-offs of TypeScript adoption,90
16,How does HTTP/2 differ from HTTP/1.1? What performance improvements does it provide?,"HTTP/2 improvements over HTTP/1.1: Multiplexing (multiple requests on single connection vs one per connection), Header Compression (HPACK reduces repetitive header overhead), Server Push (proactively send resources before client requests), Binary Framing (binary protocol vs text). This eliminates head-of-line blocking at the HTTP level (though TCP HoL blocking remains — solved by HTTP/3/QUIC).",Networking,Backend Architecture,HTTP Protocols,Medium,Technical,Backend Developer|Full Stack Developer|Software Engineer|DevOps Engineer,HTTP2|multiplexing|header compression|server push|binary framing|HPACK|HoL blocking,Multiplexing vs connection-per-request|Header compression mechanism|Server push capability|Binary vs text protocol,120
17,"What is database normalization? Explain 1NF, 2NF, 3NF.","Normalization eliminates data redundancy and insertion/update/deletion anomalies. 1NF: atomic values, no repeating groups, each row unique. 2NF: 1NF + no partial dependencies (non-key attributes depend on the whole primary key). 3NF: 2NF + no transitive dependencies (non-key attributes depend only on primary key, not on other non-key attributes). Denormalization is deliberately undone for performance in read-heavy workloads.",Databases,Database Design,Normalization,Medium,Technical,Backend Developer|Database Administrator|Full Stack Developer|Software Engineer,normalization|1NF|2NF|3NF|redundancy|anomalies|primary key|transitive dependency,1NF atomic values requirement|2NF elimination of partial dependencies|3NF elimination of transitive dependencies|When to denormalize for performance,120
18,Explain the CAP theorem and its implications for distributed systems.,"CAP theorem states a distributed system can guarantee at most 2 of 3 properties: Consistency (all nodes see the same data simultaneously), Availability (every request gets a response), Partition Tolerance (system works despite network partitions). Since network partitions are unavoidable in real distributed systems, the real choice is between CP (e.g., HBase, ZooKeeper) and AP (e.g., Cassandra, DynamoDB, CouchDB) systems.",Distributed Systems,System Design,CAP Theorem,Hard,Technical,Software Engineer|Backend Developer|Full Stack Developer|Cloud Engineer,CAP|consistency|availability|partition tolerance|distributed|CP|AP|Cassandra|ZooKeeper,CAP theorem three properties defined|Network partition as inevitable reality|CP vs AP system examples|BASE vs ACID trade-offs,120
19,How does JWT authentication work? What are its security considerations?,"JWT (JSON Web Token) has three parts: Header (algorithm), Payload (claims: sub, iat, exp, custom), Signature (HMAC or RSA of header+payload). Server creates JWT on login, client stores it (httpOnly cookie or localStorage), sends it in Authorization: Bearer header. Verification is stateless — server validates signature without DB lookup. Security concerns: store in httpOnly cookies (not localStorage, XSS risk), short expiry + refresh tokens, never put sensitive data in payload (it's base64, not encrypted), validate exp and iss claims.",Security,Backend Architecture,Authentication,Medium,Technical,Backend Developer|Full Stack Developer|Software Engineer|Security Engineer,JWT|header|payload|signature|HMAC|Bearer|httpOnly|refresh token|XSS|expiry,JWT three-part structure|Stateless verification mechanism|httpOnly cookie vs localStorage security|Refresh token pattern for expiry,120
20,What is Docker and how does containerization differ from virtualization?,"Docker packages apps + dependencies into containers that share the host OS kernel. Virtual Machines run a full guest OS on a hypervisor. Containers: faster startup (seconds vs minutes), smaller footprint (MB vs GB), process-level isolation (less secure than VMs). VMs: stronger isolation, full OS, better for running different OS types. Docker uses namespaces (isolation) and cgroups (resource limits). Dockerfile defines the image; docker-compose orchestrates multi-container apps.",DevOps,Infrastructure,Containerization,Easy,Technical,DevOps Engineer|Backend Developer|Full Stack Developer|Cloud Engineer|Software Engineer,Docker|container|virtualization|VM|namespace|cgroup|image|Dockerfile|docker-compose,Container vs VM architecture differences|Namespace and cgroup kernel features|Dockerfile and image concepts|docker-compose for multi-container orchestration,90
21,"Explain Kubernetes pod, deployment, and service concepts.","A Pod is the smallest deployable unit — one or more containers sharing network/storage. A Deployment manages a ReplicaSet to maintain a desired number of pod replicas, handles rolling updates and rollbacks. A Service is a stable network endpoint abstracting the pod IP churn — types: ClusterIP (internal), NodePort (external via node), LoadBalancer (cloud LB). Labels and selectors connect services to pods.",DevOps,Infrastructure,Kubernetes,Medium,Technical,DevOps Engineer|Cloud Engineer|Backend Developer,Kubernetes|pod|deployment|ReplicaSet|service|ClusterIP|NodePort|LoadBalancer|labels|selectors,Pod as smallest unit with shared network|Deployment for desired state management|Service types and their use cases|Label and selector coupling mechanism,120
22,What is CI/CD? Describe a typical pipeline.,"CI (Continuous Integration) automates merging and testing code frequently. CD (Continuous Delivery/Deployment) automates releasing to staging/production. Typical pipeline: code push → trigger (GitHub Actions, Jenkins, GitLab CI) → lint + unit tests → build artifact → integration tests → deploy to staging → smoke tests → deploy to production. Key principles: fail fast, every commit is potentially releasable, automated rollback on failure.",DevOps,Software Engineering,CI/CD,Easy,Technical,DevOps Engineer|Software Engineer|Backend Developer|Full Stack Developer,CI|CD|pipeline|GitHub Actions|Jenkins|lint|unit tests|build|staging|deployment|rollback,CI definition and purpose|CD definition and purpose|Pipeline stages in sequence|Fail-fast and rollback principles,90
23,What is the difference between SQL and NoSQL databases? When to use each?,"SQL databases: relational, ACID transactions, schema-on-write, strong consistency, best for structured data with complex joins (e-commerce, banking). NoSQL types: Document (MongoDB — flexible schema), Key-Value (Redis — caching, sessions), Wide-Column (Cassandra — time series, analytics), Graph (Neo4j — social networks). NoSQL: horizontal scale, eventual consistency, schema-on-read, best for high-volume, variable-structure data.",Databases,Database Design,SQL vs NoSQL,Medium,Technical,Backend Developer|Full Stack Developer|Software Engineer|Database Administrator|Data Engineer,SQL|NoSQL|ACID|relational|MongoDB|Redis|Cassandra|document|key-value|horizontal scaling,SQL ACID properties and use cases|NoSQL category types and examples|Schema-on-write vs schema-on-read|Horizontal vs vertical scaling,120
24,How does Python's GIL affect multi-threading? How do you work around it?,"The GIL (Global Interpreter Lock) allows only one thread to execute Python bytecode at a time in CPython. This makes CPU-bound multi-threading ineffective. Workarounds: Use multiprocessing (separate processes, separate GILs) for CPU-bound tasks. Use asyncio (single-threaded cooperative concurrency) for I/O-bound tasks. Use threading for I/O-bound tasks where GIL is released during I/O waits. Use C extensions (NumPy) that release the GIL. Python 3.13+ introduces per-interpreter GIL (free-threaded mode).",Python,Backend Architecture,Concurrency,Hard,Technical,Backend Developer|Full Stack Developer|Data Scientist|ML Engineer|Software Engineer,GIL|CPython|threading|multiprocessing|asyncio|CPU-bound|I/O-bound|concurrency,GIL definition and CPython specificity|CPU-bound vs I/O-bound impact|Multiprocessing as CPU-bound solution|asyncio for I/O-bound concurrency,120
25,Explain Python decorators with an example.,"A decorator is a function that wraps another function to add behavior without modifying its code. Syntax: @decorator above function definition. Under the hood: func = decorator(func). Common uses: logging, authentication, caching (@functools.lru_cache), timing, retry logic. Example: @login_required decorator checks session before calling the view function. Class decorators wrap the entire class. Decorators can take arguments (decorator factory pattern).",Python,Software Engineering,Metaprogramming,Medium,Technical,Backend Developer|Full Stack Developer|Software Engineer|Data Scientist,decorator|wrapper|functools|lru_cache|closure|higher-order function,Decorator as function wrapper concept|Syntax sugar for func = decorator(func)|Practical use case examples|Decorator with arguments (factory pattern),120
26,What is a Python generator and how does it differ from a regular function?,"A generator uses yield instead of return. Calling a generator function returns a generator object — it does not execute the body. Values are produced lazily one at a time via next(). Memory efficient: doesn't hold all values in memory simultaneously. Generator expressions: (x**2 for x in range(1000)) vs list comprehension. Use cases: processing large datasets, infinite sequences, pipeline data transformations.",Python,Software Engineering,Iterators and Generators,Medium,Technical,Backend Developer|Full Stack Developer|Data Scientist|Software Engineer,generator|yield|lazy evaluation|memory efficient|generator expression|iterator protocol,yield vs return difference|Lazy evaluation and memory efficiency|Generator as iterator protocol implementation|Generator expressions vs list comprehensions,90
27,Describe how you would design a rate limiter for an API.,"Common algorithms: Token Bucket (tokens replenish at rate R, consumed per request — allows bursting), Sliding Window Log (log each request timestamp, count in window), Sliding Window Counter (mix of fixed window + sliding adjustment). Implementation: Use Redis INCR + EXPIRE for distributed rate limiting. Store per-client (IP or API key) counters. Return 429 Too Many Requests with Retry-After header. Consider per-endpoint and per-org limits.",System Design,Backend Architecture,Rate Limiting,Hard,Technical,Backend Developer|Full Stack Developer|Software Engineer|Cloud Engineer,rate limiter|token bucket|sliding window|Redis|429|API key|distributed|INCR|EXPIRE,"Rate limiting algorithm options (token bucket, sliding window)|Redis as distributed counter|Per-client vs global limits|429 status code and Retry-After header",180
28,How would you design a URL shortener service like bit.ly?,"Requirements: short URL generation, redirect, analytics (click count). Short URL: base62 encode a counter or hash (collision-free). Storage: URL-to-short mapping in DB (PostgreSQL or Redis for hot paths). Redirect: 301 (permanent, cached) vs 302 (temporary, tracked every time). Scale: CDN for redirects (edge caching), async analytics writes to prevent redirect latency, DB sharding by short URL prefix. Custom aliases: check uniqueness before insertion.",System Design,System Design,URL Shortener,Medium,Technical,Software Engineer|Backend Developer|Full Stack Developer|Cloud Engineer,URL shortener|base62|hash|collision|Redis|CDN|301|302|analytics|sharding,Short URL generation approach (base62/hash)|301 vs 302 redirect implications|Redis caching for hot URLs|Analytics decoupled from redirect path,180
29,"Design a notification system that can send email, SMS, and push notifications.","Components: Notification Service API, Template Engine (per channel, per locale), Channel Adapters (email: SES/SendGrid, SMS: Twilio, Push: FCM/APNs), Queue (high volume buffering, retry), User Preference Service (opt-out, channel preferences). Flow: trigger → publish to queue → consumer dequeues → resolve template → send via adapter → update delivery status. Retry with exponential backoff. Deduplication using idempotency keys.",System Design,System Design,Notification System,Hard,Technical,Software Engineer|Backend Developer|Full Stack Developer,notification|queue|email|SMS|push|template|retry|idempotency|FCM|SES|Twilio,Multi-channel abstraction via adapters|Queue for buffering and retry|Template engine for channel/locale|Idempotency to prevent duplicate sends,180
30,What is the difference between authorization and authentication?,"Authentication (AuthN) verifies identity — who are you? (login with password, MFA, SSO). Authorization (AuthZ) verifies permissions — what can you do? (RBAC, ABAC, ACLs). Authentication happens first. Common pattern: AuthN issues a JWT/session, AuthZ middleware reads claims from the token to check permissions. OAuth2 is an authorization framework (delegating access), OIDC adds authentication on top of OAuth2.",Security,Backend Architecture,Auth,Easy,Technical,Software Engineer|Backend Developer|Full Stack Developer|Security Engineer,authentication|authorization|AuthN|AuthZ|JWT|RBAC|OAuth2|OIDC|MFA,Authentication vs authorization distinction|Authentication precedes authorization|JWT claims for authorization decisions|OAuth2 vs OIDC purpose difference,90
31,"Explain SQL JOIN types: INNER, LEFT, RIGHT, FULL OUTER.","INNER JOIN: returns rows matching in BOTH tables. LEFT JOIN: returns all rows from left table + matching right (nulls for non-matches on right). RIGHT JOIN: opposite of LEFT. FULL OUTER JOIN: all rows from both tables, nulls where no match. CROSS JOIN: Cartesian product of all row combinations. Self-join: joining a table to itself (org charts, adjacency lists). Always specify join conditions (ON clause) to avoid accidental CROSS JOINs.",Databases,Database Queries,SQL Joins,Easy,Technical,Backend Developer|Full Stack Developer|Software Engineer|Database Administrator|Data Scientist|Data Engineer,JOIN|INNER JOIN|LEFT JOIN|RIGHT JOIN|FULL OUTER JOIN|CROSS JOIN|self-join|NULL,INNER JOIN matching rows in both tables|LEFT JOIN preserving all left rows|FULL OUTER JOIN including all rows|Practical use case for each join type,90
32,What is GraphQL and how does it differ from REST?,"GraphQL is a query language and runtime for APIs. Differences from REST: single endpoint (vs multiple REST endpoints), client specifies exact fields (vs server-defined response shape — no over/under-fetching), strongly typed schema (SDL), introspection (schema self-documentation), mutations for writes, subscriptions for real-time. Trade-offs: caching harder (all POST), N+1 query problem in resolvers (use DataLoader for batching), more complex setup vs REST.",Web Development,API Design,GraphQL,Medium,Technical,Frontend Developer|Backend Developer|Full Stack Developer|Software Engineer,GraphQL|REST|schema|query|mutation|subscription|over-fetching|under-fetching|DataLoader|N+1,Single endpoint vs multiple REST endpoints|Client-specified field selection|Strongly typed schema advantage|N+1 problem and DataLoader solution,120
33,How does garbage collection work in Java/Python?,"Python uses reference counting + cyclic garbage collector (handles circular references). Java uses generational GC: Young Generation (Eden + Survivor spaces, minor GC), Old Generation (major/full GC), Metaspace. Most objects die young (generational hypothesis). GC algorithms: Mark-and-Sweep (mark live objects, sweep dead), G1GC, ZGC (low-latency), Shenandoah. GC pauses (stop-the-world) affect latency-sensitive apps. Tune via heap size, GC algorithm selection, object pool reuse.",Software Engineering,Runtime Systems,Garbage Collection,Hard,Technical,Software Engineer|Backend Developer|Full Stack Developer,GC|garbage collection|reference counting|generational|Mark-and-Sweep|G1GC|heap|stop-the-world|young generation,Reference counting and cyclic GC in Python|Generational hypothesis and young/old gen|Mark-and-sweep algorithm|Stop-the-world pauses and latency impact,120
34,What are microservices? What are their trade-offs vs monolith?,"Microservices decompose an app into independent, loosely coupled services each owning its data, deployed independently, communicating via APIs/messages. Benefits: independent scaling, independent deployments, technology diversity, fault isolation. Trade-offs: distributed system complexity, network latency, data consistency challenges (no shared DB), operational overhead (service discovery, load balancing, observability), testing complexity. Start with monolith, extract services when team/scaling demands it.",System Design,Architecture,Microservices,Medium,Technical,Software Engineer|Backend Developer|Full Stack Developer|DevOps Engineer|Cloud Engineer,microservices|monolith|independent|coupling|fault isolation|network latency|service discovery|data consistency,Independent deployment and scaling benefit|Distributed system complexity trade-off|Data consistency challenge without shared DB|When to prefer monolith vs microservices,120
35,What is Redis and what are its common use cases?,"Redis is an in-memory data structure store supporting: Strings (caching, counters), Lists (queues, recent activity), Sets (unique members, tags), Sorted Sets (leaderboards, rate limiting), Hashes (objects/sessions), Pub/Sub (messaging), Streams (event log). Use cases: session storage, caching (cache-aside or write-through), rate limiting (INCR + EXPIRE), distributed locks (SETNX), message queues (RPUSH/BLPOP), real-time leaderboards. Persistence: RDB snapshots or AOF (append-only file).",Databases,Backend Architecture,Caching,Medium,Technical,Backend Developer|Full Stack Developer|Software Engineer|DevOps Engineer|Data Engineer,Redis|caching|session|Pub/Sub|sorted sets|rate limiting|distributed lock|SETNX|EXPIRE,"Redis as in-memory data structure store|Data type variety and use cases|Caching patterns (cache-aside, write-through)|Persistence options (RDB vs AOF)",120
